sticker_url,from,from_id
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (152).webp,🐥💛🌻,8
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (153).webp,🐑💛🌙,2
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (153).webp,🐥💛🌻,1
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (154).webp,🐥💛🌻,1
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (155).webp,🐥💛🌻,1
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (156).webp,🐑💛🌙,1
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (156).webp,🐥💛🌻,2
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (157).webp,🐑💛🌙,3
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (157).webp,🐥💛🌻,1
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (158).webp,🐑💛🌙,8
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (158).webp,🐥💛🌻,16
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (159).webp,🐥💛🌻,1
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (16).webp,🐥💛🌻,2
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (160).webp,🐥💛🌻,1
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (161).webp,🐑💛🌙,1
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (162).webp,🐑💛🌙,54
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (163).webp,🐑💛🌙,2
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (164).webp,🐑💛🌙,7
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (165).webp,🐑💛🌙,36
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (165).webp,🐥💛🌻,10
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (166).webp,🐑💛🌙,10
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (167).webp,🐥💛🌻,1
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (168).webp,🐑💛🌙,1
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (169).webp,🐥💛🌻,5
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (17).webp,🐥💛🌻,1
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (170).webp,🐥💛🌻,1
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (171).webp,🐑💛🌙,9
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (171).webp,🐥💛🌻,6
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (172).webp,🐑💛🌙,11
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (172).webp,🐥💛🌻,4
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (173).webp,🐥💛🌻,1
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (174).webp,🐑💛🌙,10
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (174).webp,🐥💛🌻,3
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (175).webp,🐑💛🌙,1
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (176).webp,🐑💛🌙,2
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (176).webp,🐥💛🌻,2
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (177).webp,🐑💛🌙,1
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (177).webp,🐥💛🌻,2
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (178).webp,🐑💛🌙,16
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (178).webp,🐥💛🌻,22
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (179).webp,🐑💛🌙,4
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (179).webp,🐥💛🌻,1
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (18).webp,🐥💛🌻,2
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (180).webp,🐑💛🌙,2
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (180).webp,🐥💛🌻,5
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (181).webp,🐑💛🌙,3
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (181).webp,🐥💛🌻,4
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (182).webp,🐑💛🌙,1
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (182).webp,🐥💛🌻,3
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (183).webp,🐥💛🌻,4
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (184).webp,🐥💛🌻,1
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (185).webp,🐥💛🌻,1
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (186).webp,🐥💛🌻,2
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (187).webp,🐑💛🌙,2
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (188).webp,🐑💛🌙,1
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (189).webp,🐑💛🌙,2
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (189).webp,🐥💛🌻,2
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (19).webp,🐥💛🌻,1
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (190).webp,🐑💛🌙,2
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (191).webp,🐑💛🌙,4
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (191).webp,🐥💛🌻,6
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (192).webp,🐥💛🌻,1
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (193).webp,🐥💛🌻,2
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (194).webp,🐑💛🌙,5
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (194).webp,🐥💛🌻,3
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (195).webp,🐑💛🌙,4
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (195).webp,🐥💛🌻,2
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (196).webp,🐑💛🌙,2
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (196).webp,🐥💛🌻,2
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (197).webp,🐑💛🌙,2
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (197).webp,🐥💛🌻,1
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (198).webp,🐑💛🌙,4
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (198).webp,🐥💛🌻,1
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (199).webp,🐑💛🌙,7
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (199).webp,🐥💛🌻,8
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (2).webp,🐥💛🌻,2
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (20).webp,🐑💛🌙,1
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (200).webp,🐑💛🌙,7
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (200).webp,🐥💛🌻,2
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (201).webp,🐑💛🌙,17
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (201).webp,🐥💛🌻,2
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (202).webp,🐑💛🌙,29
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (202).webp,🐥💛🌻,2
